year,newaddress,price
2013,___,277432.4324
2013,___,179237.6812
2013,___,395375
2013,___,209482.7586
2013,___,475450
2013,___,459269.2308
2013,___,398705.8824
2013,___,979210.5263
2013,___,976391.3043
2013,___,157524.0385
2013,___,596956.5217
2013,___,386526.3158
2013,___,320083.3333
2013,___,1358183.432
2013,___,345451.8072
2013,___,126594.1964
2013,___,566923.0769
2013,___,92576
2013,___,128578.9474
2013,___,934360.4651
2013,___,399298.0769
2013,___,249805.5556
2013,___,255500
2013,___,808004.2373
2013,___,312515.1515
2013,___,220765.2027
2013,___,217400
2013,___,253095.2381
2013,___,251655.1724
2013,___,1248880.597
2013,___,320666.6667
2013,___,2480862.069
2013,___,240420.9845
2013,___,1081514.706
2013,___,140505.9155
2014,___,290026.3158
2014,___,187576.1421
2014,___,409375
2014,___,213303.2787
2014,___,492516.129
2014,___,598083.3333
2014,___,394764.7059
2014,___,1040000
2014,___,1142888.514
2014,___,164492.891
2014,___,599340
2014,___,388200
2014,___,337391.3043
2014,___,1400677.326
2014,___,347634.0361
2014,___,130287.5
2014,___,573775
2014,___,98558.33333
2014,___,139250
2014,___,945659.0909
2014,___,548383.3333
2014,___,233271.4286
2014,___,296823.5294
2014,___,843508.4034
2014,___,351285.7143
2014,___,228993.3333
2014,___,229291.6667
2014,___,257476.1905
2014,___,262357.1429
2014,___,1270242.424
2014,___,328987.2774
2014,___,2543157.895
2014,___,242854.2199
2014,___,1111426.471
2014,___,147093.8028
2015,___,299421.0526
2015,___,193654.0404
2015,___,422625
2015,___,222322.5806
2015,___,487258.0645
2015,___,603134.1463
2015,___,404529.4118
2015,___,1067763.158
2015,___,1161929.53
2015,___,170669.0141
2015,___,659810.8108
2015,___,386613.6364
2015,___,355086.9565
2015,___,1419456.14
2015,___,358954.8193
2015,___,133377.2321
2015,___,632804.878
2015,___,102279.1667
2015,___,143550
2015,___,953488.8889
2015,___,536516.129
2015,___,241228.5714
2015,___,343296.875
2015,___,857966.3866
2015,___,358662.1622
2015,___,240881.6667
2015,___,237312.5
2015,___,265428.5714
2015,___,270517.8571
2015,___,1283606.061
2015,___,336431.4721
2015,___,2574589.286
2015,___,246782.5
2015,___,1140441.176
2015,___,150456.0563
2016,___,309684.2105
2016,___,199653.2663
2016,___,429750
2016,__,146000
2016,___,226230.1587
2016,___,484171.875
2016,___,695277.7778
2016,___,413735.2941
2016,___,1099189.474
2016,___,1188426.174
2016,___,177488.3178
2016,___,673694.4444
2016,___,476605.2632
2016,___,362043.4783
2016,___,1432654.971
2016,___,365818.4524
2016,___,137127.1111
2016,___,694027.027
2016,___,104812.5
2016,___,145850
2016,___,948744.4444
2016,___,553672.4138
2016,___,243057.1429
2016,___,358703.125
2016,___,866466.3866
2016,___,386770.2703
2016,___,243581.6327
2016,___,241083.3333
2016,___,268857.1429
2016,___,304560
2016,___,1290803.03
2016,___,349896.25
2016,___,2541491.379
2016,___,255632.5459
2016,___,1177386.364
2016,___,151649.5845
